Report generated on: 05-24-2024 10:09:34
"API","","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"","World","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.53-1-WORL-TBPD.A","        Total petroleum and other liquids (Mb/d)","","","","","","","","63987.8","60602","58100.1","57929.3","59563.45793989071","59156.12542984","61534.95768046341","62101.270443814006","64398.73170572238","65524.91126314932","66437.18390581224","66338.8510971412","66551.97017470587","66337.0461890411","68404.80921369862","69738.19869863013","71406.80327595628","73756.4791369863","74754.92657260274","73443.88635068493","75621.9029039071","75764.24187706849","75599.86189315068","78497.80128493151","83153.5017431694","84672.88547671233","85250.2013260274","85474.1300410959","86767.47016885792","85716.22519216438","87317.27822534885","88481.5641186452","90769.35775997322","91305.82011806667","93899.4744094","96659.23577778492","97108.92000375885","97786.58438765329","100415.82471596029","100161.55461943749","93798.40646519192","95682.74080512616","100140.08945041835","101820.39169085775",""
"INTL.55-1-WORL-TBPD.A","            Crude oil, NGPL, and other liquids (Mb/d)","","","","","","","","63092.9","59785.5","57242.9","57123.7","58613.7","58186.9","60769.573","61257.573","63496.754","64633.954","65482.054","65316.436","65405.968","65570.71742191781","67636.84756986302","68963.81239726028","70569.74043442623","72907.07639726027","73868.78136712329","72557.50552876713","74673.9766743989","74860.92680857534","74643.30024931507","77523.80676438357","81014.48109289618","82560.4238739726","83095.31481917808","83321.14063287672","84638.51129781421","83621.3724410959","85154.73524339954","86311.29112563151","88595.27056535028","89113.72873743653","91671.57118746164","94383.14848299041","94826.63236364957","95452.9706957355","98047.28476952194","97814.97575108132","91691.19374251433","93419.87335617203","97830.65042470959","99486.5315457206",""
"INTL.57-1-WORL-TBPD.A","                Crude oil including lease condensate (Mb/d)","50359.734","50376.905","47570.995","51743.766","53881.362","54259.53","56617.534","59557.68724043715","55899.592030136984","53453.196824657534","53249.761994520544","54498.53904080289","53965.4347203372","56326.14124383562","56649.39526022825","58696.60208757449","59802.71265338047","60497.91240205605","60128.17913766742","60100.69769622195","58754.467657534246","60577.42822465753","61568.593884931506","62841.40155737705","65001.26453972603","65921.77018082191","64359.98553150685","66358.85128333334","66326.6145869041","65772.88455342465","69257.73056986301","72077.98248907104","74027.85678904109","74233.60124931506","74264.11816986301","74469.6522704918","73145.72246301369","74407.78495518037","75084.26675138493","76683.47228092405","76767.80062419453","78611.9004648589","80965.42423367534","81022.57698360656","81202.78312256352","82930.42155845746","82123.86269888788","75986.44103512049","77177.04122892662","80820.48201261672","81795.75252912383",""
"INTL.58-1-WORL-TBPD.A","                NGPL (Mb/d)","","","","","","","","3446.28975","3630.69","3631.8","3643.3","3872.7","3933","4162.9","4284.5","4498.4","4512.4","4644.9","4816.557","4847.6127","6113.33205479452","6221.953030136986","6457.514643835617","6759.089909836066","6886.417906849315","6894.876038356165","7106.100139726027","7196.929950819672","7366.641561643835","7562.908726027397","6925.111454794521","7349.254426229508","6909.866169863014","7028.920095890411","7042.141484931507","8191.988076502732","8350.346260273973","8050.647304657534","8358.175979726027","8870.611046721311","9031.474242009132","9544.027103424658","9887.714139726027","10184.707573770493","10605.954353074421","11197.558248540334","11713.799886917543","11913.238849305557","12270.075398283208","12826.313596468983","13181.201493462324",""
"INTL.59-1-WORL-TBPD.A","                Other liquids (Mb/d)","","","","","","","","89","105","157","231","242","288.6","280.8","323.9","303","320.2","341.1","371.22","457.5","702.9177095890411","837.4663150684931","937.7038684931507","969.2489672131147","1019.3939506849315","1052.1351479452055","1091.4198575342466","1118.1954402459016","1167.6706600273972","1307.5069698630136","1340.9647397260273","1587.2441775956283","1622.7009150684933","1832.7934739726027","2014.8809780821919","1976.870950819672","2125.303717808219","2696.302983561644","2868.848394520548","3041.187237704918","3314.4538712328767","3515.643619178082","3530.010109589041","3619.3478062725135","3644.2332200975534","3919.304962524145","3977.3131652758984","3791.5138580882785","3972.7567289621975","4183.854815623879","4509.57752313445",""
"INTL.56-1-WORL-TBPD.A","            Refinery processing gain (Mb/d)","","","","","","","","894.7","816.3","856","804.4","948.9","967.8003750454794","764.6491061795","841.0735498680608","895.8889917449252","882.3639560706441","952.4592997950449","1022.4302153028248","1143.310902260657","1234.622087671233","1294.2616438356165","1411.686301369863","1527.0628415300546","1563.4027397260274","1646.045205479452","1704.3808219178081","1843.9262893896775","1838.5030751199315","1908.8171327880136","1986.466984698548","2139.020650273224","2112.461602739726","2154.886506849315","2152.989408219178","2128.958871043716","2094.852751068493","2162.542981949315","2170.2729930136984","2174.087194622951","2192.091380630137","2227.903221938356","2276.0872947945204","2282.2876401092894","2333.6136919178084","2368.5399464383563","2346.5788683561645","2107.2127226775956","2262.8674489541286","2309.4390257087693","2333.860145137163",""
"","Afghanistan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
